Date_ddmmyy,time_since_temp_hours,Event,Sample,B12,Temperature,Treatment,Count_R4,Volume_uL,cells_uL,cells_mL
150818,0,"split,move",D03 CMA-1-119-1,Y,4,"4, +B12","38,891",200,194,194455
150818,0,"split,move",D04 CMA-1-119-2,Y,4,"4, +B12","45,502",200,228,227510
150818,0,"split,move",D05 CMA-1-119-3,Y,4,"4, +B12","37,676",200,188,188380
150818,0,"split,move",D06 CMA-1-137-7,N,4,"4, -B12","45,029",200,225,225145
150818,0,"split,move",D07 CMA-1-127-8,N,4,"4, -B12","40,974",200,205,204870
150818,0,"split,move",D08 CMA-1-119-9,N,4,"4, -B12","42,569",200,213,212845
150818,0,"split,move",D09 CMA-1-146-1,Y,12,"12, +B12","35,667",200,178,178335
150818,0,"split,move",D10 CMA-1-146-2,Y,12,"12, +B12","40,819",200,204,204095
150818,0,"split,move",D11 CMA-1-146-3,Y,12,"12, +B12","34,398",200,172,171990
150818,0,"split,move",D12 CMA-1-146-7,N,12,"12, -B12","39,865",200,199,199325
150818,0,"split,move",E02 CMA-1-146-9,N,12,"12, -B12","38,902",200,195,194510
150818,0,"split,move",E01 CMA-1-146-8,N,12,"12, -B12","35,091",200,175,175455
160818,24,harvest,A02 CMA-1-119-1,Y,4,"4, +B12","41,707",200,209,208535
160818,24,harvest,A03 CMA-1-119-2,Y,4,"4, +B12","49,303",200,247,246515
160818,24,harvest,A04 CMA-1-119-3,Y,4,"4, +B12","41,669",200,208,208345
160818,24,harvest,A05 CMA-1-137-7,N,4,"4, -B12","45,209",200,226,226045
160818,24,harvest,A06 CMA-1-127-8,N,4,"4, -B12","42,738",200,214,213690
160818,24,harvest,A07 CMA-1-119-9,N,4,"4, -B12","45,382",200,227,226910
160818,24,harvest,A08 CMA-1-146-1,Y,12,"12, +B12","34,420",200,172,172100
160818,24,harvest,A09 CMA-1-146-2,Y,12,"12, +B12","40,407",200,202,202035
