"","accession","Description","logFC","logCPM","F","PValue","FDR"
"1","OEU08040.1","hypothetical protein FRACYDRAFT_271832 [Fragilariopsis cylindrus CCMP1102]",3.50412495034496,9.62185222934193,87.5919344152769,2.69650259833961e-06,0.00365915402594685
"2","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]",4.96972094209007,11.1336770085318,73.0352425936267,7.17298279760785e-06,0.00486686882817692
"3","OEU08856.1","GTP-binding protein EngA [Fragilariopsis cylindrus CCMP1102]",-2.67273486608708,9.09225986751772,51.6716866955891,2.80991494465879e-05,0.0127101819330066
"4","OEU17620.1","hypothetical protein FRACYDRAFT_275154 [Fragilariopsis cylindrus CCMP1102]",-2.06496133463852,9.50290572352261,44.8670692833578,5.11739965063822e-05,0.0173607783147902
"5","OEU17510.1","60S ribosomal protein L24 [Fragilariopsis cylindrus CCMP1102]",-1.82885095792318,9.74112707849013,40.5877252426918,7.76654761355798e-05,0.0210784102231964
"6","OEU15214.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",-3.04079988675704,9.01995465000375,38.6151859708346,9.52974604074325e-05,0.0215531089621477
"7","OEU10171.1","hypothetical protein FRACYDRAFT_173335 [Fragilariopsis cylindrus CCMP1102]",-1.16880482085196,10.8747421702555,36.6936048205326,0.000117289438553657,0.0227373954453303
"8","OEU14436.1","C2-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",1.31662695395266,10.6112949254709,33.1792851335137,0.000175582009540576,0.0271203804322122
"9","OEU13762.1","phosphoglycerate kinase precursor [Fragilariopsis cylindrus CCMP1102]",-1.22344735345922,10.7323058769879,32.977931293396,0.000179869877590206,0.0271203804322122
"10","OEU22265.1","hypothetical protein FRACYDRAFT_258994 [Fragilariopsis cylindrus CCMP1102]",1.48071710962324,10.2735057244786,27.8863864707701,0.000345287961631308,0.0468555763933685
"11","OEU12251.1","cytochrome b5 [Fragilariopsis cylindrus CCMP1102]",2.22882907012896,8.35932203145962,34.8945523934288,0.000429987528516896,0.0486658699143447
"12","OEU17472.1","hypothetical protein FRACYDRAFT_183826 [Fragilariopsis cylindrus CCMP1102]",-1.30968768524538,10.2547950057812,26.3111522445883,0.000430354044931567,0.0486658699143447
"13","OEU16390.1","thiamine biosynthesis protein thiC [Fragilariopsis cylindrus CCMP1102]",-1.51470005521967,9.61808069276833,25.5362981824922,0.000481351218108318,0.0498893050238014
"14","OEU19455.1","ubiquitin-conjugating enzyme [Fragilariopsis cylindrus CCMP1102]",1.81608025123412,8.69462222185391,24.8490689552449,0.000532755214966776,0.0498893050238014
"15","OEU20628.1","(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase [Fragilariopsis cylindrus CCMP1102]",-1.16451864806178,10.0774652383946,24.6184311268373,0.000551466157226987,0.0498893050238014
"16","OEU17563.1","hypothetical protein FRACYDRAFT_237983 [Fragilariopsis cylindrus CCMP1102]",-1.51981060761638,9.29543103412795,25.1873927027494,0.000592292983509437,0.0502338486638942
