"","accession","Description","logFC","logCPM","F","PValue","FDR"
"1","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]",5.27942765754342,11.1336770085318,84.0634102364249,3.84836779443051e-06,0.0052222350970422
"2","OEU10229.1","protoporphyrin IX Mg-chelatase subunit D [Fragilariopsis cylindrus CCMP1102]",1.98202135096002,8.55656912411203,17.975863555151,0.00167818189291841,0.833489378014955
"3","OEU11214.1","hypothetical protein FRACYDRAFT_246327 [Fragilariopsis cylindrus CCMP1102]",2.44112760368988,9.36918023750818,17.6200733639603,0.00184264416657691,0.833489378014955
"4","OEU18387.1","P-ATPase family transporter: zinc/lead/cadmium/mercury ion [Fragilariopsis cylindrus CCMP1102]",1.21189563973373,9.77399180008403,15.0587500100003,0.00299820529276923,0.999940036323453
"5","OEU08987.1","T-complex protein 1 subunit gamma [Fragilariopsis cylindrus CCMP1102]",1.01189583092658,10.2914415333341,11.8166048753869,0.00626435982722897,0.999940036323453
"6","OEU18337.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",1.79633771795831,10.3489002832772,10.9588238884375,0.0080141449259824,0.999940036323453
"7","OEU09871.1","ribosomal protein S12 [Fragilariopsis cylindrus CCMP1102]",1.43616044604724,11.1112074416228,10.3144703673174,0.00946135353484466,0.999940036323453
"8","OEU15295.1","hypothetical protein FRACYDRAFT_208848 [Fragilariopsis cylindrus CCMP1102]",-1.19552977793917,8.99959578423719,7.7669428325168,0.0195311525253565,0.999940036323453
"9","OEU21485.1","Cys_Met_Meta_PP-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",-1.36760622712457,8.72432857328261,8.14153588996259,0.0202627292683166,0.999940036323453
"10","1773362818","photosystem I p700 chlorophyll A apoprotein B (chloroplast) [Fragilariopsis cylindrus]",0.891431249550281,10.606745499127,7.23670859943914,0.0225060599118118,0.999940036323453
"11","OEU18451.1","hypothetical protein FRACYDRAFT_260397 [Fragilariopsis cylindrus CCMP1102]",1.1344673029687,9.75690020064501,6.90990183213536,0.025106487009013,0.999940036323453
"12","OEU11984.1","casein kinase I delta [Fragilariopsis cylindrus CCMP1102]",-1.29609797894183,9.26227065034743,6.82461002015559,0.0258193141997542,0.999940036323453
"13","OEU17392.1","putative glucose-6-phosphate dehydrogenase [Fragilariopsis cylindrus CCMP1102]",0.839642249617382,11.2325341147069,6.70837508967057,0.026830855998508,0.999940036323453
"14","OEU16003.1","porphobilinogen synthase [Fragilariopsis cylindrus CCMP1102]",-1.0864664430645,10.4369054675026,6.64963601407621,0.0276162084528716,0.999940036323453
"15","OEU09987.1","hypothetical protein FRACYDRAFT_271162 [Fragilariopsis cylindrus CCMP1102]",2.01854715767835,8.40723491675574,6.60171460291327,0.0281933900160741,0.999940036323453
"16","OEU17697.1","argininosuccinate synthase [Fragilariopsis cylindrus CCMP1102]",-0.748145321415366,10.5010080272396,6.32526273919675,0.0304317770240819,0.999940036323453
"17","OEU15128.1","acetate CoA ligase [Fragilariopsis cylindrus CCMP1102]",-1.45252780976379,9.46021427247672,6.33602587444892,0.0304333553481809,0.999940036323453
"18","OEU18543.1","TPR-like protein [Fragilariopsis cylindrus CCMP1102]",-1.20685851473917,9.07548952578728,6.02436274194272,0.0337711922405355,0.999940036323453
