Hour,Date_yymmdd,Event,Sample,RFU1,RFU2,RFU3,RFU_avg,RFU_stdev,cells_avg,cells_stdev
0,181209,Move,CMA-2-73-1.1,38.84,44.46,44.29,42.53,3.196763989,84590.322,16646.09011
0,181209,Move,CMA-2-73-1.2,38.22,39.7,39.46,39.12666667,0.79431312,78711.404,12496.09648
0,181209,Move,CMA-2-73-1.3,34.58,39.26,38.31,37.38333333,2.473789266,75699.97,15397.22358
0,181209,Move,CMA-2-73-1.4,32.66,34.25,35.33,34.08,1.343093444,69993.792,13444.05962
0,181209,Move,CMA-2-73-1.5,32.5,35.36,35.72,34.52666667,1.764350683,70765.364,14171.73937
0,181209,Move,CMA-2-73-1.6,34.16,35.97,37.81,35.98,1.825020548,73275.852,14276.54049
0,181209,Move,CMA-2-73-2.1,25.43,30.74,28.91,28.36,2.697387625,60113.064,15783.46738
0,181209,Move,CMA-2-73-2.2,28.47,29.26,31.73,29.82,1.700617535,62635.068,14061.64673
0,181209,Move,CMA-2-73-3.1,39.07,37.54,38.07,38.22666667,0.776938436,77156.744,12466.08345
0,181209,Move,CMA-2-73-3.2,47.04,44.74,43.41,45.06333333,1.836473069,88966.402,14296.32358
0,181209,Move,CMA-2-73-4.1,34.3,38.92,40.05,37.75666667,3.046413191,76344.866,16386.37415
0,181209,Move,CMA-2-73-4.2,34.9,37.31,38.02,36.74333333,1.635369479,74594.434,13948.93724
0,181209,Move,CMA-2-73-5.1,38.8,44.68,45.49,42.99,3.651177892,85384.926,17431.04469
0,181209,Move,CMA-2-73-5.2,40.04,46.7,44.83,43.85666667,3.435030325,86882.006,17057.67138
0,181209,Move,CMA-2-73-5.3,42.58,46.02,45.23,44.61,1.80186015,88183.314,14236.53322
0,181209,Move,CMA-2-73-5.4,45.64,47.76,49.38,47.59333333,1.875562138,93336.724,14363.84604
0,181209,Move,CMA-2-73-5.5,46.15,48.85,49.52,48.17333333,1.783993647,94338.616,14205.67063
0,181209,Move,CMA-2-73-5.6,46.59,46.61,47.52,46.90666667,0.531256373,92150.576,12041.69226
0,181209,Move,CMA-2-73-6.1,31.83,34.29,34.72,33.61333333,1.559305401,69187.672,13817.54415
0,181209,Move,CMA-2-73-6.2,33.82,32.67,33.53,33.34,0.598080262,68715.516,12157.12384
24,181210,Monitor,CMA-2-73-1.1,36.04,42.59,41.59,40.07333333,3.528573838,80346.676,17219.25845
24,181210,Monitor,CMA-2-73-1.2,37.38,38.88,42.18,39.48,2.455605832,79321.752,15365.81351
24,181210,Monitor,CMA-2-73-1.3,40.04,41.66,42.67,41.45666667,1.326737854,82736.246,13415.80697
24,181210,Monitor,CMA-2-73-1.4,51.77,55.54,57.88,55.06333333,3.082763911,106240.402,16449.16638
24,181210,Monitor,CMA-2-73-1.5,53.52,57.82,59.13,56.82333333,2.934796983,109280.626,16193.56831
24,181210,Monitor,CMA-2-73-1.6,54.95,57.75,60.74,57.81333333,2.895519527,110990.752,16125.72043
24,181210,Monitor,CMA-2-73-2.1,39.98,38.77,41.37,40.04,1.301038047,80289.096,13371.41312
24,181210,Monitor,CMA-2-73-2.2,56.56,57.87,59.18,57.87,1.31,111088.638,13386.894
24,181210,Monitor,CMA-2-73-3.1,51.61,52.81,54.81,53.07666667,1.616580754,102808.634,13916.48159
24,181210,Monitor,CMA-2-73-3.2,63.25,65.78,65.78,64.93666667,1.460696181,123295.598,13647.20658
24,181210,Monitor,CMA-2-73-4.1,46.71,50.26,50.89,49.28666667,2.253582333,96261.788,15016.83812
24,181210,Monitor,CMA-2-73-4.2,53.02,56.43,55.37,54.94,1.745193399,106027.356,14138.64708
24,181210,Monitor,CMA-2-73-5.1,45.67,43.25,50.64,46.52,3.767611976,91482.648,17632.17293
24,181210,Monitor,CMA-2-73-5.2,45.83,52.67,54.38,50.96,4.524234742,99152.304,18939.16309
24,181210,Monitor,CMA-2-73-5.3,53.82,59.57,59.43,57.60666667,3.280096543,110633.756,16790.03877
24,181210,Monitor,CMA-2-73-5.4,56.3,65.02,66.07,62.46333333,5.363360265,119023.162,20388.66852
24,181210,Monitor,CMA-2-73-5.5,56.44,71.89,71.19,66.50666667,8.725011939,126007.616,26195.58562
24,181210,Monitor,CMA-2-73-5.6,58.03,62.71,62.82,61.18666667,2.734306737,116817.848,15847.24146
24,181210,Monitor,CMA-2-73-6.1,41.74,43.64,44.97,43.45,1.623360712,86179.53,13928.19329
24,181210,Monitor,CMA-2-73-6.2,51.91,51.36,52.03,51.76666667,0.357258077,100545.74,11741.1276
48,181211,Harvest,CMA-2-73-1.1,42.11,44.89,46.21,44.40333333,2.092876808,87826.318,14739.2354
48,181211,Harvest,CMA-2-73-1.2,47.85,52.64,48.91,49.8,2.515968998,97148.52,15470.08485
48,181211,Harvest,CMA-2-73-1.3,52.06,56.44,55.71,54.73666667,2.346621685,105676.118,15177.5543
48,181211,Harvest,CMA-2-73-1.4,51.97,57.63,57.88,55.82666667,3.342309581,107558.984,16897.50557
