"","accession","Description","logFC","logCPM","F","PValue","FDR"
"1","OEU08040.1","hypothetical protein FRACYDRAFT_271832 [Fragilariopsis cylindrus CCMP1102]",3.11790193579942,9.62185222934193,59.8273781936552,1.48816199878492e-05,0.0201943583235114
"2","OEU16390.1","thiamine biosynthesis protein thiC [Fragilariopsis cylindrus CCMP1102]",-2.30178409085944,9.61808069276833,42.2983303023126,6.54626793334376e-05,0.0444164279277374
"3","OEU17510.1","60S ribosomal protein L24 [Fragilariopsis cylindrus CCMP1102]",-1.81137471099557,9.74112707849013,36.6495594051944,0.000117861017919511,0.0533124671055921
"4","OEU23398.1","barren-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",1.38880838614952,10.7127393202004,30.702474777166,0.000238237120023407,0.0653540706522918
"5","OEU08856.1","GTP-binding protein EngA [Fragilariopsis cylindrus CCMP1102]",-1.91040094312968,9.09225986751772,30.6182147970813,0.000240803502771893,0.0653540706522918
"6","OEU12584.1","chromosome assembly protein [Fragilariopsis cylindrus CCMP1102]",1.49698488949734,9.94709597613515,24.1912174539167,0.000588251968010487,0.133042986765038
"7","OEU08435.1","Flavocytochrome c [Fragilariopsis cylindrus CCMP1102]",1.45059647223022,9.81131905729728,21.8490565372953,0.000851340972510308,0.16503852852807
"8","OEU15214.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",-1.80817616410243,9.01995465000376,18.5653269384942,0.00150420760624342,0.24243940133858
"9","OEU19288.1","hypothetical protein FRACYDRAFT_235337 [Fragilariopsis cylindrus CCMP1102]",2.88721176396745,7.93469408225356,21.8165203096139,0.00160792528522271,0.24243940133858
"10","OEU23066.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",1.45484582649437,9.14997125197546,17.6157158465435,0.00179640145239043,0.243771677089381
"11","OEU13881.1","hypothetical protein FRACYDRAFT_262424 [Fragilariopsis cylindrus CCMP1102]",1.48469438249792,9.23314873647959,16.0845728315272,0.00242566576803495,0.299238949747584
"12","OEU20131.1","hypothetical protein FRACYDRAFT_236198 [Fragilariopsis cylindrus CCMP1102]",-2.34952743674594,8.96154584467261,15.4609293155671,0.00277969255271691,0.314146267607806
"13","OEU17620.1","hypothetical protein FRACYDRAFT_275154 [Fragilariopsis cylindrus CCMP1102]",-1.23543530112047,9.50290572352261,19.0591602362381,0.00300950735364884,0.314146267607806
"14","OEU18398.1","DEAD-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",-1.06990837164719,10.0242205300567,13.8200841658979,0.00392217199115156,0.380170527999476
"15","OEU20259.1","hypothetical protein FRACYDRAFT_260278 [Fragilariopsis cylindrus CCMP1102]",0.917333246216266,10.7224751127299,13.2758488982949,0.00443477587525013,0.384165172154266
"16","OEU15576.1","protoporphyrin IX Mg-chelatase subunit D [Fragilariopsis cylindrus CCMP1102]",-0.948889747565952,10.3600181407026,13.1111938346943,0.0046055071730411,0.384165172154266
"17","OEU15125.1","charged multivesicular body protein [Fragilariopsis cylindrus CCMP1102]",1.40426298170271,10.0188781374741,12.9130327184636,0.0048556196925969,0.384165172154266
"18","OEU10171.1","hypothetical protein FRACYDRAFT_173335 [Fragilariopsis cylindrus CCMP1102]",-0.668203471622734,10.8747421702555,12.6764609434073,0.00509577973380751,0.384165172154266
"19","OEU16003.1","porphobilinogen synthase [Fragilariopsis cylindrus CCMP1102]",-1.50056464881772,10.4369054675026,11.3365625037024,0.00722510002101009,0.516024248868983
"20","OEU17057.1","hypothetical protein FRACYDRAFT_239660 [Fragilariopsis cylindrus CCMP1102]",1.47243025452664,8.63694587717795,16.7190187821466,0.00837992217641385,0.56857771966968
"21","OEU13503.1","hypothetical protein FRACYDRAFT_241836 [Fragilariopsis cylindrus CCMP1102]",1.19127360866485,10.1205158984928,10.01118978806,0.0100190021640273,0.647418377932621
"22","OEU20628.1","(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase [Fragilariopsis cylindrus CCMP1102]",-0.802266385412499,10.0774652383946,11.9984123380007,0.0120128394805174,0.740973780684639
"23","OEU20689.1","Ribonuc_red_lgC-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",-1.10667601349324,9.26943584009557,12.1022023169461,0.0132675650625996,0.763120274050614
"24","OEU07775.1","putative dehydroascorbate reductase [Fragilariopsis cylindrus CCMP1102]",-0.794448933348027,10.1260811636132,8.92240969335829,0.013496600277977,0.763120274050614
"25","OEU18066.1","protoporphyrin IX Mg-chelatase subunit H [Fragilariopsis cylindrus CCMP1102]",-1.49282631062543,8.69170382230642,10.9911096840119,0.0153305404175389,0.832141733864009
"26","OEU21646.1","methionine sulfoxide reductase B [Fragilariopsis cylindrus CCMP1102]",-1.40102056614572,8.74015948567888,10.5392649573803,0.0178414965905301,0.931188879744204
"27","OEU20813.1","putative GDP-mannose 4,6-dehydratase [Fragilariopsis cylindrus CCMP1102]",-1.46118526309141,8.65304741142348,13.3019516724856,0.0195236516686852,0.981244270903919
"28","OEU08698.1","putative glutathione S-transferase [Fragilariopsis cylindrus CCMP1102]",1.04762372147895,9.21209408786378,7.4153223935287,0.021261414823503,0.995226959676953
"29","OEU12494.1","hypothetical protein FRACYDRAFT_191288, partial [Fragilariopsis cylindrus CCMP1102]",-0.682280807572716,11.3652533960955,7.37482002293856,0.0215361681365891,0.995226959676953
"30","OEU17774.1","FAD-binding domain-containing protein [Fragilariopsis cylindrus CCMP1102]",0.965893139242159,9.40314440232828,12.7597091367943,0.0227626177143062,0.995226959676953
"31","OEU13317.1","hypothetical protein FRACYDRAFT_241655 [Fragilariopsis cylindrus CCMP1102]",-0.876923688546815,9.95724830701335,7.07141194185606,0.0237375891015308,0.995226959676953
"32","OEU09370.1","WD40 repeat-like protein [Fragilariopsis cylindrus CCMP1102]",-0.775241721312444,10.268207318434,6.96766970223796,0.0245524280220658,0.995226959676953
"33","OEU17651.1","FAD-linked oxidoreductase [Fragilariopsis cylindrus CCMP1102]",-1.00073446930581,9.31997971318735,14.4894198232053,0.0245833218000166,0.995226959676953
"34","OEU13382.1","hypothetical protein FRACYDRAFT_170947, partial [Fragilariopsis cylindrus CCMP1102]",-0.514401815676399,11.0137681146592,6.79124262889632,0.026017757720447,0.995226959676953
"35","OEU08538.1","hypothetical protein FRACYDRAFT_174052, partial [Fragilariopsis cylindrus CCMP1102]",1.50055123482791,9.69730849668034,6.44354946284256,0.0297224956414165,0.995226959676953
