"","accession","Description","logFC","logCPM","F","PValue","FDR"
"1","OEU08040.1","hypothetical protein FRACYDRAFT_271832 [Fragilariopsis cylindrus CCMP1102]",3.50412495034491,9.62185222934193,87.5919344152925,2.69650259833081e-06,0.00365915402593491
"2","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]",4.96972094209007,11.1336770085318,73.0352425936083,7.17298279762899e-06,0.00486686882819127
"3","OEU08856.1","GTP-binding protein EngA [Fragilariopsis cylindrus CCMP1102]",-2.67273486608708,9.09225986751772,51.6716866955759,2.80991494465688e-05,0.012710181932998
"4","OEU17620.1","hypothetical protein FRACYDRAFT_275154 [Fragilariopsis cylindrus CCMP1102]",-2.06496133463852,9.50290572352261,44.8670692833573,5.11739965063021e-05,0.017360778314763
"5","OEU17510.1","60S ribosomal protein L24 [Fragilariopsis cylindrus CCMP1102]",-1.82885095792319,9.74112707849013,40.5877252427023,7.76654761353808e-05,0.0210784102231424
"6","OEU15214.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",-3.04079988675703,9.01995465000376,38.6151859708315,9.52974604073273e-05,0.0215531089621238
"7","OEU10171.1","hypothetical protein FRACYDRAFT_173335 [Fragilariopsis cylindrus CCMP1102]",-1.16880482085196,10.8747421702555,36.6936048205082,0.00011728943855381,0.02273739544536
"8","OEU14436.1","C2-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",1.31662695395267,10.6112949254709,33.1792851335028,0.000175582009540581,0.0271203804322413
"9","OEU13762.1","phosphoglycerate kinase precursor [Fragilariopsis cylindrus CCMP1102]",-1.22344735345922,10.7323058769879,32.9779312933765,0.000179869877590399,0.0271203804322413
"10","OEU22265.1","hypothetical protein FRACYDRAFT_258994 [Fragilariopsis cylindrus CCMP1102]",1.48071710962324,10.2735057244786,27.8863864707659,0.000345287961631121,0.0468555763933431
"11","OEU12251.1","cytochrome b5 [Fragilariopsis cylindrus CCMP1102]",2.22882907012896,8.35932203145962,34.8945523934228,0.000429987528516891,0.0486658699143678
"12","OEU17472.1","hypothetical protein FRACYDRAFT_183826 [Fragilariopsis cylindrus CCMP1102]",-1.30968768524538,10.2547950057812,26.3111522445776,0.000430354044931771,0.0486658699143678
"13","OEU16390.1","thiamine biosynthesis protein thiC [Fragilariopsis cylindrus CCMP1102]",-1.5147000552197,9.61808069276833,25.5362981825094,0.000481351218106616,0.0498893050238563
