"","accession","Description","Protein.FDR.Confidence.Combined","Exp.q.value.Combined","Sum.PEP.Score","Coverage.in.Percent","Number.of.Peptides","Number.of.PSMs","Number.of.Unique.Peptides","B12_4_1_A","noB12_4_1_A","B12_12_3_A","noB12_12_3_A","pool2_A","B12_12_1_B","noB12_12_2_B","B12_4_2_B","noB12_4_2_B","B12_4_3_B","pool1_B","pool2_B"
"1","OEU20521.1","heat shock protein 70 [Fragilariopsis cylindrus CCMP1102]","High",0,166.251,36,29,103,27,24.6346654838112,26.8879629244424,35.9762592697685,29.5476472462923,20.8221694966105,24.592954634572,24.8800251849593,19.4655271939828,21.2012268476405,22.7799282601853,20.7208682105385,20.9436807754292
"2","OEU19765.1","acetyl-CoA carboxylase [Fragilariopsis cylindrus CCMP1102]","High",0,157.091,18,38,83,38,17.8113331361639,18.5398034260723,18.8711040680316,19.6062590413011,19.401149348661,25.0276374894707,23.5101045946342,24.1234643280602,22.4955916923494,20.2398175331369,19.2802765176191,19.5411662823554
"3","OEU10161.1","heat shock protein 70 [Fragilariopsis cylindrus CCMP1102]","High",0,137.489,31,22,114,21,30.4173929553462,23.9213018756792,33.6767535718209,39.4393249339801,33.3970616367364,38.1353873525999,41.4693393821677,32.601774640672,30.4886946330107,30.1764516656244,31.1496876680424,35.7015178708532
"4","OEU16642.1","glutamate synthase family protein [Fragilariopsis cylindrus CCMP1102]","High",0,108.47,16,25,52,25,16.409835215673,16.0330720745787,15.6203705125508,12.7444245045718,14.7935466441794,14.2959204816412,13.7212771243303,14.1545518723723,14.1984556583898,17.5295011973509,14.2236786045472,15.3836640746755
"5","OEU08944.1","ABC_tran-domain-containing protein [Fragilariopsis cylindrus CCMP1102]","High",0,102.98,17,17,62,17,10.0880368956442,11.2644796254795,10.4809614127961,12.4258884515372,11.9453020112102,11.0875037796743,17.0862876918358,16.0414756128481,12.770963991881,14.4479002613732,11.6338713294691,12.2713238656305
"7","1783488220","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Fragilariopsis cylindrus]","High",0,90.38,26,14,104,14,12.9563633917921,6.69483225089739,13.5111420486057,13.2344307459318,9.29291839011442,13.2526874043369,28.6996127489998,12.1769116831647,11.3336649597457,14.7387627409832,9.32492180279248,9.26902113613262
"8","OEU10909.1","hypothetical protein FRACYDRAFT_246784 [Fragilariopsis cylindrus CCMP1102]","High",0,87.315,21,23,45,23,19.0591722778277,19.8630201978948,16.08069564971,11.3736855311526,18.5223717511907,16.2267412245403,20.1486690017725,24.505588833471,26.6753473446241,27.2963140800723,14.8876440558565,22.2170147753771
"9","OEU20740.1","F-type H-ATPase beta subunit [Fragilariopsis cylindrus CCMP1102]","High",0,85.273,25,10,52,8,11.5331427060271,9.67833436661866,13.5867068737819,14.1930736548718,16.3339176817207,13.9954442426884,15.5855838793652,15.8519167869521,13.0633532060513,16.5162280462489,12.2649554470871,20.465934673332
"10","OEU12223.1","ATP synthase subunit A [Fragilariopsis cylindrus CCMP1102]","High",0,84.204,32,17,65,14,25.0922276870569,25.2329659709583,29.0945582927245,34.1234046770112,25.1794711399817,19.2942516625983,20.7607771281737,15.8037349620154,13.5798654728457,16.2550560788466,24.1312452685208,26.2630887722915
"11","OEU20761.1","transketolase [Fragilariopsis cylindrus CCMP1102]","High",0,83.03,20,16,66,16,31.2265077475789,22.9362648386299,27.6915984024827,32.7285299129016,27.3396530581089,27.1881731841104,30.0695863598674,30.960359221734,31.7479230288103,39.8489765534561,26.1973981857393,28.5203845111444
"13","OEU21213.1","heat shock protein Hsp90 [Fragilariopsis cylindrus CCMP1102]","High",0,79.114,16,11,47,10,9.00284828069659,8.94523377609731,7.70002352412491,10.2254593664091,11.2081408497955,9.02383192133174,20.8619227355099,9.91110623928615,8.63757218007012,7.55121954868515,10.5523371411738,11.8819370655738
"15","1783488153","Clp protease ATP binding subunit (chloroplast) [Fragilariopsis cylindrus]","High",0,77.067,19,18,38,18,9.29805841830303,12.6282087997792,6.97922488855377,8.34057473401448,15.7522581962892,12.7642852720763,26.2811099232481,10.1951771677981,9.10185199107345,10.9660965038748,8.78350048934153,22.8178480262173
"16","OEU15381.1","S-Adenosyl homocysteine hydrolase [Fragilariopsis cylindrus CCMP1102]","High",0,73.792,25,13,50,13,22.1705791665438,15.8732031651544,17.7556710620087,31.8754038207848,22.8455562301761,27.6493453098601,37.2354090262929,25.2478020706642,28.4849208309858,24.3329294242331,21.5857261811303,24.1411506428913
"17","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]","High",0,72.668,22,19,47,19,0.762525133513377,54.0137953314135,1.9579774985389,48.9835995152027,23.8863014280175,1.41074383899521,126.322470323474,3.81714984015062,128.228411365681,1.98393361526419,21.0098255803372,26.8186189546607
"18","OEU14763.1","V-ATPase subunit A4 [Fragilariopsis cylindrus CCMP1102]","High",0,72.233,21,13,47,13,21.790037400788,20.3307493932784,23.9322390806274,26.3317223271326,28.1719334001646,19.8241846555264,42.7852585331828,19.7079038823615,21.0685003704331,17.4700863983411,27.1080285147326,29.2741477863652
"19","OEU16252.1","carbamyl phosphate synthetase [Fragilariopsis cylindrus CCMP1102]","High",0,70.793,11,17,45,16,17.4405943318278,14.9181825220023,13.1079855548016,16.5314062315943,14.2181191657775,14.9410395315192,10.9088484257614,11.5220042401861,15.286719750245,13.1678313537268,14.6611075890784,13.782871303837
"20","OEU07736.1","Coatomer, gamma subunit [Fragilariopsis cylindrus CCMP1102]","High",0,69.623,17,17,36,17,8.38257980500127,6.65251060049064,7.74491468416402,6.84157964512528,6.54198928101396,6.28126925753474,7.11007985916752,5.70914198398549,6.900414056497,6.15659067928655,5.65199096981451,7.44849055278724
"21","OEU20623.1","D-isomer-specific 2-hydroxyacid dehydrogenase NAD-binding protein [Fragilariopsis cylindrus CCMP1102]","High",0,69.411,34,14,38,13,9.8307227933778,7.13099479484777,7.98193982512363,10.0145654136825,7.86079242237574,10.1576468155744,7.75698591454164,6.50790247476273,9.95999760436713,11.6481557216334,8.02744457688206,7.69934576494466
"22","OEU17161.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]","High",0,69.248,19,17,49,17,8.10034052970217,7.50010975806236,8.60985986328599,8.14041281587439,9.66924272883725,16.2932303948927,34.2916741277582,16.0973835910246,15.1923152841809,16.6641618224455,10.1997091906591,9.14132854268482
"24","OEU13767.1","Coatomer, alpha subunit [Fragilariopsis cylindrus CCMP1102]","High",0,68.328,12,17,39,17,25.7653706758395,22.0670060752542,27.3116763072998,14.8766229992222,24.6533116056912,22.0584234381676,24.7716164390947,30.8820506920041,22.805043613675,29.5321226344605,23.7021601787902,25.6382258689743
"25","OEU15338.1","triosephosphate isomerase/glyceraldehyde-3-phosphate dehydrogenase precursor [Fragilariopsis cylindrus CCMP1102]","High",0,67.223,20,12,27,8,14.8592888200374,15.0558339487429,14.3772496801524,13.0972321500734,17.1972100219322,17.1294933065423,13.8867715085426,15.8431681764071,12.6708060214672,18.6930156333975,17.459608208734,16.947409047279
"26","OEU07483.1","DEAD-domain-containing protein [Fragilariopsis cylindrus CCMP1102]","High",0,64.49,25,16,32,15,11.1264241529242,7.70812231376849,8.67365493170099,7.24971919973426,12.0681803330334,16.2405769736573,16.3274627963012,15.3290522195585,14.1413455507928,14.1879728638371,14.8612295235236,9.25310437471752
"27","OEU12386.1","CPN60 protein [Fragilariopsis cylindrus CCMP1102]","High",0,64.143,30,17,45,17,21.5416693865267,20.6265824225944,21.9100304123556,19.3612361619995,17.7846224306278,21.3062697413117,19.5392134004062,18.4923457495342,14.2639805866309,12.4736566851734,19.6849258363914,15.8780739666842
"28","1773362819","heat shock protein 70 (chloroplast) [Fragilariopsis cylindrus]","High",0,63.697,24,15,37,15,18.7856313758061,16.6600759132161,20.9080313580893,20.8422098866847,19.5337334639057,22.7231040899594,21.8755030705213,14.0385197924208,19.72792809525,16.5059786372008,19.2809501575683,19.807342604111
"29","1783488227","ATP synthase CF1 subunit alpha (chloroplast) [Fragilariopsis cylindrus]","High",0,61.907,21,10,44,7,5.90846514800626,13.3592978996793,4.3065496515945,7.95677931149351,13.1626633081557,11.3304017452108,35.9778662631417,17.4815189066236,20.5004713673737,17.15677717232,13.5727673027372,12.7597252686359
"31","OEU23726.1","aconitate hydratase [Fragilariopsis cylindrus CCMP1102]","High",0,60.124,17,14,29,14,7.48719680199608,6.91627778322943,7.96367528826761,7.12880157951083,10.2512090218426,13.3212462029992,25.117095540767,3.53718095044699,5.26309269352408,12.127317761432,4.17937503469423,16.4042406540376
"34","OEU17172.1","vitamin B6 biosynthesis protein [Fragilariopsis cylindrus CCMP1102]","High",0,57.3,31,14,35,14,9.67448001226157,10.1606741107907,10.9849340504642,10.9166585173511,10.9246774484843,9.04801536523621,11.6434195752236,9.23098895613683,8.56636790166019,8.26690875804115,11.3926577492604,10.4611349794276
"35","OEU20105.1","hypothetical protein FRACYDRAFT_268179 [Fragilariopsis cylindrus CCMP1102]","High",0,57.174,36,8,22,8,6.00019119329311,8.98905817466952,6.96665214272962,13.0478552330665,9.81453350694101,16.5707722078245,10.9674544949353,10.818161064026,9.07621855605388,18.2058831667284,10.7328303024928,8.89433309369087
"36","OEU07503.1","methionine adenosyltransferase [Fragilariopsis cylindrus CCMP1102]","High",0,54.473,27,14,45,14,22.0976527534963,23.839289180882,17.8858608954821,21.452216273339,18.0086674569164,12.9827549073677,21.7273179549283,21.8840538090713,13.8793824969087,16.6984934614905,18.5761584838382,17.4509048800453
"37","OEU14023.1","hypothetical protein FRACYDRAFT_188631 [Fragilariopsis cylindrus CCMP1102]","High",0,54.395,8,15,26,15,6.9312006445929,8.61267511871751,7.23809686984574,5.86806289198414,7.1084934691755,6.54047907212908,13.6855313192681,6.82585733134545,7.16924253607743,6.19991272221536,7.0943932849895,7.12925081276408
"38","OEU14969.1","glutamate 1-semialdehyde 2,1-aminomutase [Fragilariopsis cylindrus CCMP1102]","High",0,53.784,22,11,47,11,14.717098473392,19.3333779889771,15.7952664476949,14.7091639514471,14.0459706410706,10.7003832762511,16.4805921194558,16.1235437965988,11.8770464071631,12.7802276370722,12.6961918120426,15.4245436783148
"39","OEU20488.1","hypothetical protein FRACYDRAFT_234116 [Fragilariopsis cylindrus CCMP1102]","High",0,53.658,4,18,27,18,6.00351236869376,7.42187343568733,8.59002980909861,4.51300050768616,6.806291388939,9.05745273305293,12.2467882946856,8.72255053348248,7.96412968450813,7.85396799641595,6.27019108233323,7.35494888946257
"40","OEU16482.1","prohibitin 2 [Fragilariopsis cylindrus CCMP1102]","High",0,53.492,25,8,27,8,25.6662812404593,38.5642114229449,11.4616894592661,6.28920591371395,26.3392457378219,26.9837372903336,22.0014107589386,25.5955316061978,24.0533483294322,25.4312596881128,26.8142332168135,25.8826872962657
"41","OEU16972.1","mitochondrial chaperonin [Fragilariopsis cylindrus CCMP1102]","High",0,53.291,20,12,25,12,12.0698287330966,13.386319885526,16.6069517449867,10.1338712869532,10.2690024763647,13.2926621477433,8.70004878231942,8.92202181263072,10.0967692994814,11.8081093748656,10.1421169028975,10.4067652802781
"42","OEU16307.1","chloroplast ATPase gamma subunit precursor [Fragilariopsis cylindrus CCMP1102]","High",0,53.286,22,8,33,8,13.7570376875979,13.2053714933618,14.9813365517315,16.7090835271466,10.8750592154344,9.62865831175827,11.4206460533164,10.9426040684807,10.7525942273496,13.5035107533647,11.0536437636355,10.7042911328864
"43","OEU15658.1","hypothetical protein FRACYDRAFT_170346 [Fragilariopsis cylindrus CCMP1102]","High",0,53.081,11,14,34,14,17.1380307202396,18.620118717177,22.5569840183728,22.0472763786117,17.9018924802317,19.071205022304,24.36128616876,15.2477427132209,15.6292621856457,15.6329882033381,18.7859685441351,17.0237017538034
"44","OEU13842.1","elongation factor-like protein [Fragilariopsis cylindrus CCMP1102]","High",0,53.038,21,12,56,12,46.7939414021008,54.527929363334,39.8760519131277,83.2573389981578,74.1958917960266,50.6679311238105,76.0201766970957,71.0284742938548,72.0398659063524,29.2221777284538,78.8406007002674,69.5639735780178
"45","OEU15576.1","protoporphyrin IX Mg-chelatase subunit D [Fragilariopsis cylindrus CCMP1102]","High",0,52.617,17,14,28,14,30.0264819507786,32.0458311824916,15.6750842445853,16.7663142561548,18.1856920531551,12.7497613839682,17.7451635406719,26.9019030048221,19.8718990630138,26.6349390671188,14.0002757737965,22.4372316391786
"46","OEU18654.1","Lysyl-tRNA synthetase [Fragilariopsis cylindrus CCMP1102]","High",0,52.154,23,14,27,14,7.02059730826237,4.44591210649219,4.52856488746545,4.32732513310231,5.6575463325143,5.60592781435752,8.13884521154204,6.9465106295352,6.35660992721676,7.58593070764001,5.6822446503694,5.63772136401643
"47","1773362887","cell division protein FtsH-like protein (chloroplast) [Fragilariopsis cylindrus]","High",0,50.792,22,14,32,14,10.1894939788357,10.7363745846483,9.23439568097374,15.029000668223,13.3187938011865,15.9514345196658,13.736549381696,16.5465438920122,16.4013775679789,18.5393007132789,13.2696768779003,13.3806524281643
"48","OEU16558.1","vacuolar ATPase B subunit [Fragilariopsis cylindrus CCMP1102]","High",0,50.225,21,11,34,11,10.971221758855,8.39555678794475,9.79875001061812,8.44400724203918,7.86114384070029,8.36120196880727,14.9438822195646,8.41804585677079,9.70726154640598,7.24506570362346,9.05376254430469,6.66159240376589
"49","OEU18459.1","pyruvate kinase [Fragilariopsis cylindrus CCMP1102]","High",0,50.169,19,11,36,11,14.7066862552855,10.5032479588537,8.06769843368964,8.3488585370141,12.0728162755833,12.282063418025,16.9527159885514,12.4879947235955,18.6906169479984,16.1684947380648,12.9525783945398,11.1936683569019
"50","OEU20569.1","photosystem II stability/assembly factor [Fragilariopsis cylindrus CCMP1102]","High",0,49.877,23,7,19,7,3.72696798333413,3.38392570645324,3.02606784855887,4.31040555381162,3.62496455691566,3.81695316067937,3.438286712428,4.15033506048354,3.56802373542023,4.76269682487254,4.19132525353532,3.05521279452591
"51","OEU13702.1","Actin/actin-like protein [Fragilariopsis cylindrus CCMP1102]","High",0,49.816,24,13,51,13,12.9198979192505,11.0128872904661,14.0322068612736,14.2989251625741,11.7160097308085,11.7028591826742,14.3091555423195,10.6812605483934,11.501954049357,8.94899909624369,12.490392169447,10.9431624959953
"52","OEU07061.1","UTP-glucose-1-phosphate uridylyltransferase/phosphoglucomutase fusion protein [Fragilariopsis cylindrus CCMP1102]","High",0,49.065,17,10,25,10,8.38345814401928,11.2087058547455,8.86681815880823,15.9589813966702,8.57904314855418,6.75844556520921,12.6624320475923,9.46358115883615,9.42624885268582,9.45476643079382,8.35965157634523,8.80886342078188
"53","OEU20628.1","(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase [Fragilariopsis cylindrus CCMP1102]","High",0,48.48,19,14,31,14,24.8460961479711,23.3844636803781,12.024114418151,9.22919592318768,13.782283232867,13.6753092407381,14.4136352053569,21.0064633927591,19.0346967778001,22.378625786187,12.7855645471365,14.8033781978809
"54","OEU20508.1","fructose-bisphosphate aldolase [Fragilariopsis cylindrus CCMP1102]","High",0,47.735,26,8,19,8,9.84138321269955,10.1010567877531,8.16816421456617,9.17618675405844,7.24038491224594,8.21664030235005,6.72202669900195,8.86948601930633,7.08081185009432,2.77235470732078,7.81333347849634,6.66726835860153
"55","OEU14968.1","hypothetical protein FRACYDRAFT_287479 [Fragilariopsis cylindrus CCMP1102]","High",0,47.451,15,14,23,14,14.1837393999848,13.0825731560623,11.1884836341809,11.3946192349869,12.7808244810716,10.0527175911122,19.4570644482972,11.6844772730561,14.3248653028852,13.4579999506886,11.8464120760799,13.7379616276152
"56","OEU14716.1","hypothetical protein FRACYDRAFT_262066, partial [Fragilariopsis cylindrus CCMP1102]","High",0,47.029,24,14,32,13,20.0300313769286,20.7781839555582,21.5336133583294,24.3628193812818,21.5215934069359,15.5972227281606,21.0047999852691,14.9728766960579,18.9911958661705,14.2828811851056,19.6164125569476,23.4689651500529
"57","OEU09945.1","plastid glutamine synthetase II [Fragilariopsis cylindrus CCMP1102]","High",0,47.024,29,9,28,9,13.6524687185559,15.6929571653521,15.1820502243886,14.2560831701594,15.697240717072,14.1928936939507,17.4994151253572,12.9777984984625,14.1744431134207,13.4641241870109,13.7780014985436,17.6535192937991
"58","OEU05954.1","glyceraldehyde-3-phosphate dehydrogenase precursor [Fragilariopsis cylindrus CCMP1102]","High",0,46.966,22,8,44,8,35.4927830318631,48.6495520438863,33.767117345277,38.2141652643395,36.1002431525245,38.4333799948957,31.8366813931945,30.2374521029859,30.5113689756474,30.9523863131599,45.1091727435464,27.0176868695634
"59","OEU18421.1","hypothetical protein FRACYDRAFT_260383 [Fragilariopsis cylindrus CCMP1102]","High",0,46.381,24,9,25,9,10.7178344732152,7.72159885675676,8.55718273131379,5.83748918727333,8.72049347522924,9.9121812819127,3.65748234284319,4.82882397594864,7.28077222776983,17.8774845446978,13.6932545921095,3.69686012381793
