"","accession","Description","proteinId","K_no","logFC","logCPM","PValue"
"1","OEU08040.1","hypothetical protein FRACYDRAFT_271832 ","271832","-",3.50412495034496,9.62185222934193,2.69650259833961e-06
"2","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ","228154","K00549",4.96972094209007,11.1336770085318,7.17298279760785e-06
"3","OEU08856.1","GTP-binding protein EngA ","196010","-",-2.67273486608708,9.09225986751772,2.80991494465879e-05
"4","OEU17620.1","hypothetical protein FRACYDRAFT_275154 ","275154","-",-2.06496133463852,9.50290572352261,5.11739965063822e-05
"5","OEU17510.1","60S ribosomal protein L24 ","268718","K02896",-1.82885095792318,9.74112707849013,7.76654761355798e-05
"6","OEU15214.1","P-loop containing nucleoside triphosphate hydrolase protein ","208780","-",-3.04079988675704,9.01995465000375,9.52974604074325e-05
"7","OEU10171.1","hypothetical protein FRACYDRAFT_173335 ","173335","-",-1.16880482085196,10.8747421702555,0.000117289438553657
"8","OEU14436.1","C2-domain-containing protein ","269584","-",1.31662695395266,10.6112949254709,0.000175582009540576
"9","OEU13762.1","phosphoglycerate kinase precursor ","209933","K00927",-1.22344735345922,10.7323058769879,0.000179869877590206
"10","OEU22265.1","hypothetical protein FRACYDRAFT_258994 ","258994","K01624",1.48071710962324,10.2735057244786,0.000345287961631308
"11","OEU12251.1","cytochrome b5 ","172305","K23490",2.22882907012896,8.35932203145962,0.000429987528516896
"12","OEU17472.1","hypothetical protein FRACYDRAFT_183826 ","183826","-",-1.30968768524538,10.2547950057812,0.000430354044931567
"13","OEU16390.1","thiamine biosynthesis protein thiC ","225659","K03147",-1.51470005521967,9.61808069276833,0.000481351218108318
"14","OEU19455.1","ubiquitin-conjugating enzyme ","167665","K06689",1.81608025123412,8.69462222185391,0.000532755214966776
"15","OEU20628.1","(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase ","259614","K03526",-1.16451864806178,10.0774652383946,0.000551466157226987
"16","OEU17563.1","hypothetical protein FRACYDRAFT_237983 ","237983","-",-1.51981060761638,9.29543103412795,0.000592292983509437
"17","OEU11214.1","hypothetical protein FRACYDRAFT_246327 ","246327","-",2.65872975797296,9.36918023750818,0.000677875984767434
"18","OEU18387.1","P-ATPase family transporter: zinc/lead/cadmium/mercury ion ","168079","K01534",1.40470904267081,9.77399180008403,0.000799951393513606
"19","OEU08126.1","Carboxyl_trans-domain-containing protein, partial ","145710","K11262",-0.959216718414842,11.3564270262261,0.000820334211536872
"20","OEU13881.1","hypothetical protein FRACYDRAFT_262424 ","262424","-",1.6219845635795,9.23314873647959,0.000843191748327774
"21","OEU20381.1","5-oxoprolinase ","260195","K01469",1.72598553443962,10.3539014911398,0.00102028400712639
"22","OEU12584.1","chromosome assembly protein ","210755","K06674",1.35860782516635,9.94709597613515,0.00109919391527876
"23","OEU17661.1","hypothetical protein FRACYDRAFT_268767 ","268767","-",-1.04871818141395,11.1945232356755,0.00113584033034694
"24","OEU10229.1","protoporphyrin IX Mg-chelatase subunit D ","247844","-",1.9875953373199,8.55656912411203,0.00133389595458838
"25","OEU18937.1","uroporphyrinogen III decarboxylase ","268500","K01599",-2.0303197880911,8.7495340623735,0.00136888770738572
"26","1773362865","ATP synthase CF1 epsilon subunit (chloroplast) [Fragilariopsis cylindrus]","-","-",1.29018793965373,9.29606784780021,0.0014640508461833
"27","OEU21928.1","protein serine/threonine phosphatase 2C ","204950","K14803",-0.821708347581984,11.100209680867,0.00147572219185766
"28","OEU18940.1","hypothetical protein FRACYDRAFT_207292 ","207292","K00326",1.05554848941533,9.85934714078842,0.00161320209779882
"29","OEU20373.1","hypothetical protein FRACYDRAFT_236448 ","236448","-",-1.61091688753005,9.3861733751544,0.00168545048821277
"30","OEU19890.1","hypothetical protein FRACYDRAFT_206674 ","206674","-",1.15671209230586,9.37494801631392,0.00170276563245263
"31","OEU18901.1","acyltransferase, partial ","158788","K00630",-1.00554336832266,10.8511018680449,0.00173767401265388
"32","OEU20259.1","hypothetical protein FRACYDRAFT_260278 ","260278","-",1.03277766163412,10.7224751127299,0.00178936810871533
"33","OEU21739.1","ATP-dependent hsl protease ATP-binding subunit hslU, partial ","158033","K03667",1.900134765891,8.3412693406709,0.00195725825099669
"34","OEU14527.1","hypothetical protein FRACYDRAFT_218563 ","218563","K02266",0.835309024816198,10.47972394286,0.00213883354472693
"35","OEU16276.1","glutamine-hydrolyzing asparagine synthase ","208140","K01953",-0.8347046486086,12.2184498735921,0.0021697959097743
"36","OEU17774.1","FAD-binding domain-containing protein ","207885","-",1.19030601780779,9.40314440232829,0.00224441303900862
"37","OEU18445.1","P-loop containing nucleoside triphosphate hydrolase protein, partial ","182871","-",-1.37567486168649,9.27832433151952,0.00236350874738459
"38","OEU09292.1","chloroplast sedoheptulose-1,7-bisphosphatase ","195411","K01100",-1.02267510010348,10.0633670335186,0.00250726767296873
"39","OEU14387.1","hypothetical protein FRACYDRAFT_275849 ","275849","K08994",1.03595036505136,10.2445112384159,0.00257169958431185
"40","OEU15875.1","hypothetical protein FRACYDRAFT_240571 ","240571","-",-0.881374761586747,10.8879300627532,0.00268646980105957
"41","OEU10445.1","putative rhodopsin ","287459","-",1.13613988931235,9.83878600178373,0.00285453272402663
"42","OEU08420.1","hypothetical protein FRACYDRAFT_264537 ","264537","-",-1.20563764268971,9.66472938104107,0.00304056183138105
"43","OEU15601.1","WD40 repeat-like protein, partial ","156423","K14556",-1.112493557344,10.0110908584882,0.00308585566582885
"44","OEU07775.1","putative dehydroascorbate reductase ","229440","-",-1.02233153538086,10.1260811636132,0.00313064450626702
"45","OEU22263.1","RNA-binding domain-containing protein, partial ","155400","-",-2.06663778244837,9.25042962093156,0.00363681792681528
"46","OEU18828.1","stabilizer of iron transporter SufD ","268455","-",-1.17531998581387,9.5817377245773,0.00365189029467375
"47","OEU17803.1","fucoxanthin chlorophyll a/c protein ","260998","-",-0.734996485923003,10.8306473558067,0.00377852801643599
"48","OEU20728.1","hypothetical protein FRACYDRAFT_234360 ","234360","-",-0.827271662587543,11.2870463881285,0.00385486100716783
"49","OEU20070.1","putative acetyl-CoA acyltransferase ","268162","K07508",1.53400163264881,9.79859484684733,0.00396027865770186
"50","OEU19288.1","hypothetical protein FRACYDRAFT_235337 ","235337","-",2.64357672347407,7.93469408225356,0.00409507761898141
"51","OEU21654.1","putative aureochrome ","205854","-",-0.762862805090195,11.2207333923299,0.0044034078923511
"52","OEU20818.1","HopJ-domain-containing protein ","259707","-",-0.985359850058374,9.91155644386862,0.00459534344013537
"53","OEU15771.1","hypothetical protein FRACYDRAFT_209201 ","209201","-",1.06937830435984,9.41829946990641,0.00497595326514183
"54","OEU14002.1","hypothetical protein FRACYDRAFT_171314 ","171314","-",1.69324561379231,8.45441878177163,0.00502618456995697
"55","OEU20557.1","hypothetical protein FRACYDRAFT_234188 ","234188","K15128",-0.851580208300516,10.5623038954276,0.00505927594943258
"56","OEU18602.1","hypothetical protein FRACYDRAFT_268368 ","268368","-",-1.11592446026739,9.85829373032407,0.00506459723249575
"57","OEU15576.1","protoporphyrin IX Mg-chelatase subunit D ","170289","K03404",-0.899786969733936,10.3600181407026,0.00519860733058181
"58","OEU07355.1","hypothetical protein FRACYDRAFT_197708 ","197708","-",-0.852386743007963,10.7641501670584,0.00522226566140915
"59","OEU08435.1","Flavocytochrome c ","196661","-",1.1088869096699,9.81131905729729,0.00541121014960394
"60","OEU20496.1","hypothetical protein FRACYDRAFT_216497 ","216497","K17278",1.45154958278056,8.59951197453343,0.00561914268377094
"61","OEU19598.1","hypothetical protein FRACYDRAFT_235658 ","235658","-",1.51731947764037,9.46000141893878,0.00564823756870511
"62","OEU19234.1","cobW-domain-containing protein ","274493","-",1.61770566866542,11.2508911083623,0.00565015910330214
"63","OEU16551.1","fucoxanthin chlorophyll a/c protein ","208340","-",1.94710057687395,10.121715111327,0.00567984854063829
"64","OEU13767.1","Coatomer, alpha subunit ","226883","K05236",-0.766856166346291,10.4963092826897,0.00580268079280277
"65","OEU21652.1","uroporphyrinogen III decarboxylase, partial ","216482","K01599",-1.07286910061181,9.84879116952729,0.00623346651805872
"66","OEU10218.1","FAS1 domain-containing protein, partial ","194372","-",1.30219369644449,8.70062028798307,0.00639206845538124
"67","OEU08930.1","hypothetical protein FRACYDRAFT_249273 ","249273","-",-1.1231788829565,9.49169763192517,0.00642538891479897
"68","OEU15320.1","ThiJ/PfpI domain-containing protein ","269315","-",1.62411369618924,8.28604090546371,0.00653748788677692
"69","OEU22272.1","V-type ATPase 16 kDa proteolipid subunit ","205176","K02155",1.4060121152929,8.75602800127269,0.00654550476092805
"70","OEU16201.1","hypothetical protein FRACYDRAFT_225570 ","225570","K15979",-1.36586938977186,9.43097917890112,0.00664532234237111
"71","OEU21646.1","methionine sulfoxide reductase B ","274188","-",-1.55014239724691,8.74015948567888,0.00697924635352338
"72","OEU16091.1","calcium ATPase, partial ","136216","K01535",0.937505004822559,9.61863656455083,0.0072857889465547
