"","accession","proteinId","Description","logFC","logCPM","PValue","DE_origin","de_dir","K_no","A","B","C","D","E","FF","G","H"
"1","OEU11144.1","228154","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ",5.27942765754342,11.1336770085318,3.84836779443051e-06,"B12",1,"K00549","Metabolism","Amino acid metabolism","Cysteine and methionine metabolism [PATH:ko00270]","","","","",""
"2","OEU11144.1","228154","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ",5.27942765754342,11.1336770085318,3.84836779443051e-06,"B12",1,"K00549","Metabolism","Metabolism of other amino acids","Selenocompound metabolism [PATH:ko00450]","","","","",""
"3","OEU10229.1","247844","protoporphyrin IX Mg-chelatase subunit D ",1.98202135096002,8.55656912411203,0.00167818189291841,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"4","OEU11214.1","246327","hypothetical protein FRACYDRAFT_246327 ",2.44112760368988,9.36918023750818,0.00184264416657691,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"5","OEU18387.1","168079","P-ATPase family transporter: zinc/lead/cadmium/mercury ion ",1.21189563973373,9.77399180008403,0.00299820529276923,"B12",1,"K01534","Unknown",NA,NA,NA,NA,NA,NA,NA
"6","OEU08987.1","195967","T-complex protein 1 subunit gamma ",1.01189583092658,10.2914415333341,0.00626435982722897,"B12",1,"K09495","Genetic Information Processing","Folding, sorting and degradation","Chaperones and folding catalysts [BR:ko03110]","Heat shock proteins","HSP60 / Chaperonin","","",""
"7","OEU08987.1","195967","T-complex protein 1 subunit gamma ",1.01189583092658,10.2914415333341,0.00626435982722897,"B12",1,"K09495","Genetic Information Processing","Replication and repair","Chromosome and associated proteins [BR:ko03036]","Eukaryotic Type","Centrosome formation and ciliogenesis proteins","BBS-CCT complex","",""
"8","OEU08987.1","195967","T-complex protein 1 subunit gamma ",1.01189583092658,10.2914415333341,0.00626435982722897,"B12",1,"K09495","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)","","",""
"9","OEU08987.1","195967","T-complex protein 1 subunit gamma ",1.01189583092658,10.2914415333341,0.00626435982722897,"B12",1,"K09495","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of colorectal cancer cells","","",""
"10","OEU08987.1","195967","T-complex protein 1 subunit gamma ",1.01189583092658,10.2914415333341,0.00626435982722897,"B12",1,"K09495","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of bladder cancer cells","","",""
"11","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Transcription","Spliceosome [PATH:ko03040]","","","","",""
"12","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Translation","RNA transport [PATH:ko03013]","","","","",""
"13","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Translation","mRNA surveillance pathway [PATH:ko03015]","","","","",""
"14","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Transcription","Spliceosome [BR:ko03041]","Complex C","Other components","EJC/TREX","",""
"15","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Transcription","Spliceosome [BR:ko03041]","Other splicing related proteins","Spliceosome associated proteins (SAPs)","TREX complex","",""
"16","OEU18337.1","274747","P-loop containing nucleoside triphosphate hydrolase protein ",1.79633771795831,10.3489002832772,0.0080141449259824,"B12",1,"K12812","Genetic Information Processing","Translation","Messenger RNA biogenesis [BR:ko03019]","Eukaryotic Type","mRNA surveillance and transport factors","Transport factors","EJC complex",""
"17","OEU09871.1","271288","ribosomal protein S12 ",1.43616044604724,11.1112074416228,0.00946135353484466,"B12",1,"K02951","Genetic Information Processing","Translation","Ribosome [PATH:ko03010]","","","","",""
