#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","KV784354.1",3799501,3800097,"+",,,"FRACYDRAFT_181233","OEU21632.1",161,"hypothetical protein FRACYDRAFT_181233, partial"
"Un","KV784354.1",3800745,3801401,"-",,,"FRACYDRAFT_267961","OEU21633.1",218,"hypothetical protein FRACYDRAFT_267961"
"Un","KV784354.1",3807120,3810737,"+",,,"FRACYDRAFT_235260","OEU21634.1",1038,"hypothetical protein FRACYDRAFT_235260"
"Un","KV784354.1",3811749,3812783,"+",,,"FRACYDRAFT_235261","OEU21635.1",344,"hypothetical protein FRACYDRAFT_235261"
"Un","KV784354.1",3812963,3814249,"-",,,"FRACYDRAFT_235262","OEU21636.1",428,"hypothetical protein FRACYDRAFT_235262"
"Un","KV784354.1",3815329,3816816,"-",,,"FRACYDRAFT_235263","OEU21637.1",372,"hypothetical protein FRACYDRAFT_235263"
"Un","KV784354.1",3817700,3820196,"+",,,"FRACYDRAFT_180225","OEU21638.1",616,"Peptidase_M24-domain-containing protein"
"Un","KV784354.1",3820713,3821980,"-",,,"FRACYDRAFT_235265","OEU21639.1",275,"hypothetical protein FRACYDRAFT_235265"
"Un","KV784400.1",3142,4092,"-",,,"FRACYDRAFT_199817","OEU06730.1",316,"hypothetical protein FRACYDRAFT_199817"
"Un","KV784400.1",25605,26012,"-",,,"FRACYDRAFT_253475","OEU06731.1",135,"hypothetical protein FRACYDRAFT_253475"
"Un","KV784400.1",27569,27856,"-",,,"FRACYDRAFT_143716","OEU06732.1",96,"thioredoxin-like protein, partial"
"Un","KV784400.1",38238,39386,"+",,,"FRACYDRAFT_253479","OEU06733.1",382,"hypothetical protein FRACYDRAFT_253479"
"Un","KV784400.1",47054,47806,"-",,,"FRACYDRAFT_253482","OEU06734.1",250,"hypothetical protein FRACYDRAFT_253482"
"Un","KV784400.1",69938,70660,"+",,,"FRACYDRAFT_253488","OEU06735.1",159,"hypothetical protein FRACYDRAFT_253488"
"Un","KV784400.1",71652,72461,"-",,,"FRACYDRAFT_253489","OEU06736.1",235,"hypothetical protein FRACYDRAFT_253489"
"Un","KV784400.1",99163,100290,"-",,,"FRACYDRAFT_253497","OEU06737.1",324,"hypothetical protein FRACYDRAFT_253497"
"Un","KV784400.1",102339,106098,"+",,,"FRACYDRAFT_265572","OEU06738.1",553,"hypothetical protein FRACYDRAFT_265572"
"Un","KV784400.1",106883,109288,"+",,,"FRACYDRAFT_199791","OEU06739.1",781,"glutamine-dependent NAD(+) synthetase with GAT domain-containing protein"
"Un","KV784400.1",116357,117253,"+",,,"FRACYDRAFT_253502","OEU06740.1",298,"hypothetical protein FRACYDRAFT_253502"
"Un","KV784400.1",118652,119146,"+",,,"FRACYDRAFT_253503","OEU06741.1",164,"hypothetical protein FRACYDRAFT_253503"
"Un","KV784400.1",119637,121808,"-",,,"FRACYDRAFT_265573","OEU06742.1",672,"hypothetical protein FRACYDRAFT_265573"
"Un","KV784400.1",153220,154420,"+",,,"FRACYDRAFT_221800","OEU06743.1",149,"hypothetical protein FRACYDRAFT_221800, partial"
"Un","KV784400.1",161296,162621,"+",,,"FRACYDRAFT_253513","OEU06744.1",232,"hypothetical protein FRACYDRAFT_253513"
"Un","KV784400.1",166516,167984,"+",,,"FRACYDRAFT_265576","OEU06745.1",303,"hypothetical protein FRACYDRAFT_265576"
"Un","KV784400.1",168457,169764,"-",,,"FRACYDRAFT_253515","OEU06746.1",435,"hypothetical protein FRACYDRAFT_253515"
"Un","KV784400.1",171130,172254,"-",,,"FRACYDRAFT_221801","OEU06769.1",283,"cation transport P-type ATPase, partial"
"Un","KV784400.1",173163,175715,"-",,,"FRACYDRAFT_253517","OEU06747.1",560,"hypothetical protein FRACYDRAFT_253517"
"Un","KV784400.1",176547,178653,"+",,,"FRACYDRAFT_253518","OEU06748.1",102,"hypothetical protein FRACYDRAFT_253518"
"Un","KV784400.1",194812,196401,"-",,,"FRACYDRAFT_253524","OEU06749.1",323,"hypothetical protein FRACYDRAFT_253524"
"Un","KV784400.1",197183,199027,"+",,"GDCT","FRACYDRAFT_230231","OEU06768.1",429,"glycine decarboxylase T-protein"
"Un","KV784400.1",201764,203381,"+",,,"FRACYDRAFT_253526","OEU06750.1",405,"hypothetical protein FRACYDRAFT_253526"
"Un","KV784400.1",203900,204622,"-",,,"FRACYDRAFT_253527","OEU06751.1",240,"hypothetical protein FRACYDRAFT_253527"
"Un","KV784400.1",209961,211913,"+",,,"FRACYDRAFT_253530","OEU06752.1",415,"hypothetical protein FRACYDRAFT_253530"
"Un","KV784400.1",221295,222208,"-",,,"FRACYDRAFT_253533","OEU06753.1",206,"hypothetical protein FRACYDRAFT_253533"
"Un","KV784400.1",223454,226984,"-",,,"FRACYDRAFT_253534","OEU06754.1",710,"hypothetical protein FRACYDRAFT_253534"
"Un","KV784400.1",235928,243389,"-",,,"FRACYDRAFT_253536","OEU06755.1",968,"hypothetical protein FRACYDRAFT_253536"
"Un","KV784400.1",250182,251934,"+",,,"FRACYDRAFT_253538","OEU06756.1",130,"hypothetical protein FRACYDRAFT_253538"
"Un","KV784400.1",263440,263838,"+",,,"FRACYDRAFT_253543","OEU06757.1",132,"hypothetical protein FRACYDRAFT_253543"
"Un","KV784400.1",284518,284901,"-",,,"FRACYDRAFT_253552","OEU06758.1",127,"hypothetical protein FRACYDRAFT_253552"
"Un","KV784400.1",298883,299470,"+",,,"FRACYDRAFT_253557","OEU06759.1",195,"hypothetical protein FRACYDRAFT_253557"
"Un","KV784400.1",301130,303595,"+",,,"FRACYDRAFT_253558","OEU06760.1",789,"hypothetical protein FRACYDRAFT_253558"
"Un","KV784400.1",336216,336395,"-",,,"FRACYDRAFT_272520","OEU06761.1",59,"hypothetical protein FRACYDRAFT_272520"
"Un","KV784400.1",358746,359456,"-",,,"FRACYDRAFT_253572","OEU06762.1",236,"hypothetical protein FRACYDRAFT_253572"
"Un","KV784400.1",359967,361127,"-",,,"FRACYDRAFT_253573","OEU06763.1",282,"hypothetical protein FRACYDRAFT_253573"
"Un","KV784400.1",378422,379612,"-",,,"FRACYDRAFT_199803","OEU06764.1",372,"hypothetical protein FRACYDRAFT_199803, partial"
"Un","KV784400.1",392588,394021,"+",,,"FRACYDRAFT_253579","OEU06765.1",245,"hypothetical protein FRACYDRAFT_253579"
"Un","KV784400.1",394631,396122,"+",,,"FRACYDRAFT_253580","OEU06766.1",417,"hypothetical protein FRACYDRAFT_253580"
"Un","KV784400.1",415345,419743,"+",,,"FRACYDRAFT_253585","OEU06767.1",1021,"hypothetical protein FRACYDRAFT_253585"
"Un","KV784580.1",95,1159,"-",,,"FRACYDRAFT_258703","OEU05671.1",354,"hypothetical protein FRACYDRAFT_258703"
"Un","KV784580.1",2140,3599,"-",,,"FRACYDRAFT_258704","OEU05672.1",349,"hypothetical protein FRACYDRAFT_258704"
"Un","KV784449.1",10281,12164,"-",,,"FRACYDRAFT_257639","OEU05873.1",478,"hypothetical protein FRACYDRAFT_257639"
"Un","KV784449.1",19020,19547,"-",,,"FRACYDRAFT_257642","OEU05874.1",168,"hypothetical protein FRACYDRAFT_257642"
"Un","KV784449.1",26256,26831,"-",,,"FRACYDRAFT_257645","OEU05875.1",191,"hypothetical protein FRACYDRAFT_257645"
"Un","KV784449.1",28533,30071,"-",,,"FRACYDRAFT_257646","OEU05876.1",512,"hypothetical protein FRACYDRAFT_257646"
"Un","KV784449.1",40552,41791,"+",,,"FRACYDRAFT_203815","OEU05877.1",310,"hypothetical protein FRACYDRAFT_203815"
"Un","KV784449.1",64142,66280,"-",,,"FRACYDRAFT_257657","OEU05878.1",591,"hypothetical protein FRACYDRAFT_257657"
"Un","KV784449.1",67931,70539,"-",,,"FRACYDRAFT_257659","OEU05879.1",734,"hypothetical protein FRACYDRAFT_257659"
"Un","KV784449.1",83243,84808,"+",,,"FRACYDRAFT_257664","OEU05880.1",225,"hypothetical protein FRACYDRAFT_257664"
"Un","KV784449.1",85637,87173,"-",,,"FRACYDRAFT_257665","OEU05881.1",280,"hypothetical protein FRACYDRAFT_257665"
"Un","KV784449.1",88363,90879,"+",,,"FRACYDRAFT_257666","OEU05882.1",756,"hypothetical protein FRACYDRAFT_257666"
"Un","KV784449.1",91155,93743,"-",,,"FRACYDRAFT_257667","OEU05883.1",862,"hypothetical protein FRACYDRAFT_257667"
"Un","KV784449.1",105971,107758,"-",,,"FRACYDRAFT_257672","OEU05884.1",528,"hypothetical protein FRACYDRAFT_257672"
"Un","KV784449.1",108566,109775,"+",,,"FRACYDRAFT_203816","OEU05885.1",397,"hypothetical protein FRACYDRAFT_203816"
"Un","KV784449.1",112855,113553,"+",,,"FRACYDRAFT_257674","OEU05886.1",232,"hypothetical protein FRACYDRAFT_257674"
"Un","KV784449.1",114798,119080,"-",,,"FRACYDRAFT_203822","OEU05887.1",668,"putative phospholipid-translocating P-type ATPase, partial"
"Un","KV784449.1",120698,122257,"-",,,"FRACYDRAFT_257676","OEU05888.1",135,"hypothetical protein FRACYDRAFT_257676"
"Un","KV784403.1",54380,54838,"+",,,"FRACYDRAFT_221916","OEU06689.1",152,"hypothetical protein FRACYDRAFT_221916"
"Un","KV784403.1",70185,70712,"-",,,"FRACYDRAFT_253894","OEU06690.1",120,"hypothetical protein FRACYDRAFT_253894"
"Un","KV784403.1",72760,74079,"+",,,"FRACYDRAFT_253895","OEU06691.1",439,"hypothetical protein FRACYDRAFT_253895"
"Un","KV784403.1",81141,83377,"-",,,"FRACYDRAFT_278343","OEU06692.1",467,"hypothetical protein FRACYDRAFT_278343"
"Un","KV784403.1",83759,84346,"-",,,"FRACYDRAFT_272618","OEU06693.1",195,"hypothetical protein FRACYDRAFT_272618"
"Un","KV784403.1",99845,101170,"-",,,"FRACYDRAFT_253902","OEU06694.1",279,"hypothetical protein FRACYDRAFT_253902"
"Un","KV784403.1",149239,149775,"+",,,"FRACYDRAFT_272623","OEU06695.1",178,"hypothetical protein FRACYDRAFT_272623"
"Un","KV784403.1",167154,171593,"-",,,"FRACYDRAFT_253916","OEU06696.1",368,"hypothetical protein FRACYDRAFT_253916"
"Un","KV784403.1",193950,194933,"-",,,"FRACYDRAFT_253920","OEU06697.1",327,"hypothetical protein FRACYDRAFT_253920"
"Un","KV784403.1",282775,284337,"-",,,"FRACYDRAFT_200192","OEU06698.1",521,"hypothetical protein FRACYDRAFT_200192, partial"
"Un","KV784403.1",377896,379009,"-",,,"FRACYDRAFT_253988","OEU06699.1",285,"hypothetical protein FRACYDRAFT_253988"
"Un","KV784403.1",402009,404020,"+",,,"FRACYDRAFT_253995","OEU06700.1",656,"DDE-domain-containing protein"
"Un","KV784421.1",39173,40933,"-",,,"FRACYDRAFT_201847","OEU06197.1",515,"haloacid dehalogenase-like hydrolase"
"Un","KV784421.1",79008,79322,"-",,,"FRACYDRAFT_255749","OEU06189.1",104,"Cystatin/monellin"
"Un","KV784421.1",127929,129260,"+",,,"FRACYDRAFT_136626","OEU06190.1",444,"hypothetical protein FRACYDRAFT_136626, partial"
"Un","KV784421.1",149858,150508,"+",,,"FRACYDRAFT_255779","OEU06191.1",161,"hypothetical protein FRACYDRAFT_255779"
"Un","KV784421.1",169523,176431,"-",,,"FRACYDRAFT_255787","OEU06192.1",450,"hypothetical protein FRACYDRAFT_255787"
"Un","KV784421.1",197371,197947,"-",,,"FRACYDRAFT_255796","OEU06193.1",132,"hypothetical protein FRACYDRAFT_255796"
"Un","KV784421.1",222736,224549,"+",,,"FRACYDRAFT_255807","OEU06194.1",308,"hypothetical protein FRACYDRAFT_255807"
"Un","KV784421.1",226034,229736,"-",,,"FRACYDRAFT_255808","OEU06195.1",268,"hypothetical protein FRACYDRAFT_255808"
"Un","KV784421.1",323278,325991,"+",,,"FRACYDRAFT_255833","OEU06196.1",570,"hypothetical protein FRACYDRAFT_255833"
"Un","KV784456.1",5687,7652,"-",,,"FRACYDRAFT_257925","OEU05833.1",525,"hypothetical protein FRACYDRAFT_257925"
"Un","KV784456.1",25713,26896,"-",,"PSY1","FRACYDRAFT_291469","OEU05837.1",327,"phytoene synthase"
"Un","KV784456.1",89165,90025,"+",,,"FRACYDRAFT_257947","OEU05834.1",286,"hypothetical protein FRACYDRAFT_257947"
"Un","KV784456.1",113529,114777,"+",,,"FRACYDRAFT_158848","OEU05835.1",366,"FMN-linked oxidoreductase, partial"
"Un","KV784456.1",115636,115818,"-",,,"FRACYDRAFT_222943","OEU05836.1",60,"hypothetical protein FRACYDRAFT_222943"
"Un","KV784389.1",357,1775,"+",,,"FRACYDRAFT_251604","OEU07139.1",472,"hypothetical protein FRACYDRAFT_251604"
"Un","KV784389.1",7005,7556,"-",,,"FRACYDRAFT_251607","OEU07140.1",183,"hypothetical protein FRACYDRAFT_251607"
"Un","KV784389.1",9182,12358,"+",,,"FRACYDRAFT_251608","OEU07141.1",828,"hypothetical protein FRACYDRAFT_251608"
"Un","KV784389.1",32590,33612,"+",,,"FRACYDRAFT_251611","OEU07142.1",309,"hypothetical protein FRACYDRAFT_251611"
"Un","KV784389.1",33937,34569,"+",,,"FRACYDRAFT_251612","OEU07143.1",210,"hypothetical protein FRACYDRAFT_251612"
"Un","KV784389.1",36078,36785,"+",,,"FRACYDRAFT_251614","OEU07144.1",235,"hypothetical protein FRACYDRAFT_251614"
"Un","KV784389.1",53825,58626,"+",,,"FRACYDRAFT_251618","OEU07145.1",1078,"hypothetical protein FRACYDRAFT_251618"
"Un","KV784389.1",67768,68814,"+",,,"FRACYDRAFT_251621","OEU07146.1",348,"hypothetical protein FRACYDRAFT_251621"
"Un","KV784389.1",75732,76589,"-",,,"FRACYDRAFT_277879","OEU07147.1",285,"hypothetical protein FRACYDRAFT_277879"
"Un","KV784389.1",96902,98998,"+",,,"FRACYDRAFT_251631","OEU07148.1",655,"hypothetical protein FRACYDRAFT_251631"
"Un","KV784389.1",135112,138701,"-",,,"FRACYDRAFT_251643","OEU07149.1",587,"hypothetical protein FRACYDRAFT_251643"
"Un","KV784389.1",165302,168690,"-",,"PEPC3","FRACYDRAFT_229638","OEU07166.1",955,"phosphoenolpyruvate carboxylase"
"Un","KV784389.1",173831,176661,"+",,,"FRACYDRAFT_251651","OEU07150.1",214,"hypothetical protein FRACYDRAFT_251651"
"Un","KV784389.1",186132,188633,"+",,,"FRACYDRAFT_140452","OEU07151.1",267,"hypothetical protein FRACYDRAFT_140452, partial"
"Un","KV784389.1",269848,271941,"+",,,"FRACYDRAFT_251678","OEU07152.1",410,"hypothetical protein FRACYDRAFT_251678"
"Un","KV784389.1",272153,272584,"-",,,"FRACYDRAFT_221304","OEU07153.1",143,"hypothetical protein FRACYDRAFT_221304"
"Un","KV784389.1",287238,287948,"+",,,"FRACYDRAFT_251685","OEU07154.1",236,"hypothetical protein FRACYDRAFT_251685"
"Un","KV784389.1",288471,289469,"+",,,"FRACYDRAFT_251686","OEU07155.1",332,"hypothetical protein FRACYDRAFT_251686"
"Un","KV784389.1",297658,299693,"-",,,"FRACYDRAFT_251687","OEU07156.1",621,"hypothetical protein FRACYDRAFT_251687"
"Un","KV784389.1",300587,301012,"-",,,"FRACYDRAFT_251688","OEU07157.1",123,"hypothetical protein FRACYDRAFT_251688"
"Un","KV784389.1",305471,306355,"-",,,"FRACYDRAFT_251691","OEU07158.1",251,"hypothetical protein FRACYDRAFT_251691"
