"B12","Temperature","Protein","treatmean_pmolAnalyte_ugProtein","treatsd_pmolAnalyte_ugProtein"
"+",4,"ACT1",0.250450528888559,0.131924557512099
"+",4,"MetE",0.000850436564007198,0.00058817723114596
"+",4,"MetH",0.00806706724183327,0.00461028123903315
"+",4,"RBCL",0.0578184876922605,0.0216086397913987
"+",12,"ACT1",0.300550494140238,0.0559949856663143
"+",12,"MetE",0.00109461738772084,0.000762550195957302
"+",12,"MetH",0.00525809184072489,0.00154557770753066
"+",12,"RBCL",0.0573767282100615,0.0146687335006152
"-",4,"ACT1",0.32894412169378,0.047151720075131
"-",4,"MetE",0.0220471655979839,0.00057525693688855
"-",4,"MetH",0.00714016619897725,0.00133400261388021
"-",4,"RBCL",0.0674528886847146,0.00237807562952083
"-",12,"ACT1",0.250344637441412,0.0799291300712159
"-",12,"MetE",0.0153884584991612,0.00544760020165641
"-",12,"MetH",0.00452247526960734,0.00110131389588219
"-",12,"RBCL",0.0543977082955578,0.0150265685557786
