Name
fcy:FRACYDRAFT_135771 K02320 DNA polymerase alpha subunit A [EC:2.7.7.7] | (GenBank) DNA_pol_B-domain-containing protein 
fcy:FRACYDRAFT_135945 K10610 DNA damage-binding protein 1 | (GenBank) DDB1_1; CPSF_A-domain-containing protein 
fcy:FRACYDRAFT_136035 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136107 K11136 regulator of telomere elongation helicase 1 [EC:3.6.4.12] | (GenBank) DNA repair helicase 
fcy:FRACYDRAFT_136128 K10696 E3 ubiquitin-protein ligase BRE1 [EC:2.3.2.27] | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136216 K01535 H+-transporting ATPase [EC:7.1.2.1] | (GenBank) calcium ATPase 
fcy:FRACYDRAFT_136249 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136366 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136381 no KO assigned | (GenBank) Exo_endo_phos-domain-containing protein 
fcy:FRACYDRAFT_136399 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136475 K12821 pre-mRNA-processing factor 40 | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_136520 K03305 proton-dependent oligopeptide transporter, POT family | (GenBank) MFS general substrate trans "
fcy:FRACYDRAFT_136539 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136548 K12867 pre-mRNA-splicing factor SYF1 | (GenBank) XAB2; TPR-like protein 
fcy:FRACYDRAFT_136590 K08734 DNA mismatch repair protein MLH1 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136622 K01965 propionyl-CoA carboxylase alpha chain [EC:6.4.1.3] | (GenBank) Biotin_carb_C-domain-containin 
fcy:FRACYDRAFT_136626 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136653 K15505 DNA repair protein RAD5 [EC:3.6.4.-] | (GenBank) SNF2_N-domain-containing protein 
fcy:FRACYDRAFT_136656 K20372 TBC1 domain family member 20 | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136668 no KO assigned | (GenBank) acetate--CoA ligase 
fcy:FRACYDRAFT_136671 no KO assigned | (GenBank) L domain-like protein 
fcy:FRACYDRAFT_136709 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136715 K01410 mitochondrial intermediate peptidase [EC:3.4.24.59] | (GenBank) zincin 
fcy:FRACYDRAFT_136729 no KO assigned | (GenBank) FAD/NAD(P)-binding domain-containing protein 
fcy:FRACYDRAFT_136750 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136756 K17508 protein phosphatase PTC7 [EC:3.1.3.16] | (GenBank) protein serine/threonine phosphatase 2C 
fcy:FRACYDRAFT_136790 K15338 flap endonuclease GEN [EC:3.1.-.-] | (GenBank) GEN-1; PIN domain-like protein 
fcy:FRACYDRAFT_136808 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_136837 no KO assigned | (GenBank) DUF221-domain-containing protein 
fcy:FRACYDRAFT_136868 no KO assigned | (GenBank) P-loop containing nucleoside triphosphate hydrolase protein 
fcy:FRACYDRAFT_136879 no KO assigned | (GenBank) adenylyl cyclase 
fcy:FRACYDRAFT_136904 no KO assigned | (GenBank) TPR-like protein 
fcy:FRACYDRAFT_137019 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_137078 K04615 gamma-aminobutyric acid type B receptor | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_137205 K03355 anaphase-promoting complex subunit 8 | (GenBank) TPR-like protein 
fcy:FRACYDRAFT_137231 K17871 NADH:ubiquinone reductase (non-electrogenic) [EC:1.6.5.9] | (GenBank) FAD/NAD(P)-binding doma 
fcy:FRACYDRAFT_137398 no KO assigned | (GenBank) Aa_trans-domain-containing protein 
fcy:FRACYDRAFT_137448 K14571 ribosome biogenesis ATPase | (GenBank) AAA-domain-containing protein 
fcy:FRACYDRAFT_137471 K12655 OTU domain-containing protein 5 [EC:3.4.19.12] | (GenBank) OTU-domain-containing protein 
fcy:FRACYDRAFT_137486 no KO assigned | (GenBank) M6 metalloprotease 
fcy:FRACYDRAFT_137507 K00423 L-ascorbate oxidase [EC:1.10.3.3] | (GenBank) L-ascorbate:oxygen oxidoreductase 
fcy:FRACYDRAFT_137578 K14806 ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13] | (GenBank) DEAD-domain-containing protei 
fcy:FRACYDRAFT_137581 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_137643 no KO assigned | (GenBank) TPR-like protein 
fcy:FRACYDRAFT_137656 no KO assigned | (GenBank) ABC2_membrane-domain-containing protein 
fcy:FRACYDRAFT_137730 no KO assigned | (GenBank) RNI-like protein 
fcy:FRACYDRAFT_137764 no KO assigned | (GenBank) S-adenosyl-L-methionine-dependent methyltransferase 
fcy:FRACYDRAFT_137803 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_137851 K14810 ATP-dependent RNA helicase DDX56/DBP9 [EC:3.6.4.13] | (GenBank) DEAD-domain-containing protei 
"fcy:FRACYDRAFT_137910 K00555 tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216] | (GenBank) N2, "
fcy:FRACYDRAFT_137966 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138025 no KO assigned | (GenBank) MATE efflux family protein 
fcy:FRACYDRAFT_138084 K01206 alpha-L-fucosidase [EC:3.2.1.51] | (GenBank) Alpha_L_fucos-domain-containing protein 
fcy:FRACYDRAFT_138143 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138190 K14779 ATP-dependent RNA helicase DDX52/ROK1 [EC:3.6.4.13] | (GenBank) P-loop containing nucleoside  
fcy:FRACYDRAFT_138192 no KO assigned | (GenBank) SNF2_N-domain-containing protein 
fcy:FRACYDRAFT_138206 K05284 GPI mannosyltransferase 1 subunit M [EC:2.4.1.-] | (GenBank) POMT1; putative mannosyltransfer 
fcy:FRACYDRAFT_138278 K02328 DNA polymerase delta subunit 2 | (GenBank) DNA_pol_E_B-domain-containing protein 
fcy:FRACYDRAFT_138305 K11314 transcriptional adapter 2-alpha | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138383 K22766 fidgetin-like protein 1 [EC:3.6.4.-] | (GenBank) AAA-domain-containing protein 
fcy:FRACYDRAFT_138392 K16911 ATP-dependent RNA helicase DDX21 [EC:3.6.4.13] | (GenBank) DEAD-domain-containing protein 
"fcy:FRACYDRAFT_138439 K17679 ATP-dependent RNA helicase MSS116, mitochondrial [EC:3.6.4.13] | (GenBank) DEAD-domain-contai "
fcy:FRACYDRAFT_138445 K23314 telomerase Cajal body protein 1 | (GenBank) WD40 repeat-like protein 
fcy:FRACYDRAFT_138453 K10950 ERO1-like protein alpha [EC:1.8.4.-] | (GenBank) endoplasmic reticulum oxidoreductin 1 
fcy:FRACYDRAFT_138485 K14848 ribosome assembly protein RRB1 | (GenBank) WD40 repeat-like protein 
fcy:FRACYDRAFT_138486 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138533 K23877 xyloglucan O-acetyltransferase | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138536 K09480 digalactosyldiacylglycerol synthase [EC:2.4.1.241] | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138554 K13946 auxin influx carrier (AUX1 LAX family) | (GenBank) Aa_trans-domain-containing protein 
fcy:FRACYDRAFT_138617 K20781 peptidyl serine alpha-galactosyltransferase [EC:2.4.1.-] | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_138643 K14696 solute carrier family 30 (zinc transporter), member 9 | (GenBank) Cation_efflux-domain-contai "
fcy:FRACYDRAFT_138651 no KO assigned | (GenBank) SIT_11; silicon transporter 
fcy:FRACYDRAFT_138681 no KO assigned | (GenBank) amine oxidase 
fcy:FRACYDRAFT_138697 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138722 K20781 peptidyl serine alpha-galactosyltransferase [EC:2.4.1.-] | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138760 K12373 hexosaminidase [EC:3.2.1.52] | (GenBank) HEXB1_1; putative beta-N-acetylhexosaminidase 
fcy:FRACYDRAFT_138778 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138831 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138888 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_138893 K03142 transcription initiation factor TFIIH subunit 2 | (GenBank) Ssl1-domain-containing protein 
fcy:FRACYDRAFT_138896 K10257 acyl-lipid omega-3 desaturase [EC:1.14.19.25 1.14.19.35 1.14.19.36] | (GenBank) FA_desaturase 
fcy:FRACYDRAFT_138943 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139019 no KO assigned | (GenBank) DUF647-domain-containing protein 
fcy:FRACYDRAFT_139032 no KO assigned | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_139039 K14347 solute carrier family 10 (sodium/bile acid cotransporter), member 7 | (GenBank) hypothetical  "
fcy:FRACYDRAFT_139048 K01974 RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4] | (GenBank) RNA 3'-terminal phosphate cy 
fcy:FRACYDRAFT_139061 no KO assigned | (GenBank) DUF647-domain-containing protein 
fcy:FRACYDRAFT_139065 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139153 K11434 type I protein arginine methyltransferase [EC:2.1.1.319] | (GenBank) S-adenosyl-L-methionine- 
fcy:FRACYDRAFT_139198 no KO assigned | (GenBank) putative major facilitator superfamily transporter 
fcy:FRACYDRAFT_139202 K22684 metacaspase-1 [EC:3.4.22.-] | (GenBank) Peptidase_C14-domain-containing protein 
fcy:FRACYDRAFT_139218 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139255 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139262 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139283 K10751 chromatin assembly factor 1 subunit B | (GenBank) WD40 repeat-like protein 
"fcy:FRACYDRAFT_139357 K15272 solute carrier family 35 (UDP-sugar transporter), member A1/2/3 | (GenBank) hypothetical prot "
fcy:FRACYDRAFT_139371 K15336 tRNA (cytosine38-C5)-methyltransferase [EC:2.1.1.204] | (GenBank) S-adenosyl-L-methionine-dep 
fcy:FRACYDRAFT_139389 no KO assigned | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_139402 K17800 LETM1 and EF-hand domain-containing protein 1, mitochondrial | (GenBank) LETM1-like protein "
"fcy:FRACYDRAFT_139403 K15538 glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130] | (GenBank) hypothetical protein "
"fcy:FRACYDRAFT_139492 K03849 alpha-1,3-glucosyltransferase [EC:2.4.1.265] | (GenBank) putative ALG6_ALG8 type glycosyltran "
fcy:FRACYDRAFT_139522 K22399 pachytene checkpoint protein 2 | (GenBank) AAA-domain-containing protein 
fcy:FRACYDRAFT_139539 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139543 K07393 glutathionyl-hydroquinone reductase [EC:1.8.5.7] | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139547 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139595 K03353 anaphase-promoting complex subunit 6 | (GenBank) TPR-like protein 
fcy:FRACYDRAFT_139626 K08819 cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23] | (GenBank) CDKC1; Pkinase-domain-cont 
fcy:FRACYDRAFT_139639 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139663 K11662 actin-related protein 6 | (GenBank) actin-like ATPase domain-containing protein 
fcy:FRACYDRAFT_139676 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139691 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139702 K00933 creatine kinase [EC:2.7.3.2] | (GenBank) ATP-gua_Ptrans-domain-containing protein 
fcy:FRACYDRAFT_139712 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_139812 no KO assigned | (GenBank) ankyrin 
fcy:FRACYDRAFT_139843 no KO assigned | (GenBank) cleft lip and palate transmembrane 1 
fcy:FRACYDRAFT_139902 K24730 cytosolic iron-sulfur protein assembly protein CIAO1 | (GenBank) WD40 repeat-like protein 
fcy:FRACYDRAFT_140013 K16914 bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 [EC:1.14.11.- 1.14.11. 
fcy:FRACYDRAFT_140095 no KO assigned | (GenBank) THF_DHG_CYH_C-domain-containing protein 
fcy:FRACYDRAFT_140178 no KO assigned | (GenBank) cysteine proteinase 
fcy:FRACYDRAFT_140218 no KO assigned | (GenBank) Band_7-domain-containing protein 
fcy:FRACYDRAFT_140283 K20095 16S rRNA (guanosine(1370)-2'-O)-methyltransferase [EC:2.1.1.-] | (GenBank) SpoU_methylase-dom 
fcy:FRACYDRAFT_140299 K01477 allantoicase [EC:3.5.3.4] | (GenBank) Allantoicase 
fcy:FRACYDRAFT_140309 no KO assigned | (GenBank) hypothetical protein 
"fcy:FRACYDRAFT_140333 K15272 solute carrier family 35 (UDP-sugar transporter), member A1/2/3 | (GenBank) nucleotide-sugar  "
fcy:FRACYDRAFT_140346 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140358 no KO assigned | (GenBank) L domain-like protein 
fcy:FRACYDRAFT_140384 no KO assigned | (GenBank) serine protease 
fcy:FRACYDRAFT_140399 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140441 K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9] | (GenBank) Formyltransferase 
fcy:FRACYDRAFT_140452 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140467 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140471 no KO assigned | (GenBank) galactose oxidase 
fcy:FRACYDRAFT_140510 K23503 sideroflexin-5 | (GenBank) Tricarboxylate/iron carrier 
fcy:FRACYDRAFT_140525 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140532 no KO assigned | (GenBank) hypothetical protein 
fcy:FRACYDRAFT_140541 K08825 dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1] | (GenBank) kinase 
fcy:FRACYDRAFT_140646 no KO assigned | (GenBank) RabGAP/TBC 
